,player_id,player_name,now_cost,position,team,gw1,gw2,gw3,gw4,gw5,gw6,gw7,gw8,gw9,gw10,gw11,gw12
0,1,Raya,59,GKP,Arsenal,10.0,6.0,2.0,6.0,2.0,2.0,6.0,6.0,6.0,6.0,1.0,2
1,2,Arrizabalaga,42,GKP,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2,3,Hein,40,GKP,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,4,Setford,40,GKP,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,5,Gabriel,64,DEF,Arsenal,6.0,6.0,2.0,9.0,2.0,13.0,9.0,12.0,9.0,12.0,1.0,0
5,6,Saliba,60,DEF,Arsenal,9.0,6.0,1.0,0.0,2.0,1.0,6.0,6.0,1.0,6.0,1.0,2
6,7,Calafiori,58,DEF,Arsenal,13.0,13.0,2.0,5.0,2.0,1.0,6.0,6.0,6.0,6.0,1.0,2
7,8,J.Timber,63,DEF,Arsenal,0.0,24.0,2.0,8.0,1.0,2.0,11.0,6.0,6.0,6.0,1.0,5
8,9,Kiwior,54,DEF,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,10,Lewis-Skelly,51,DEF,Arsenal,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1
10,11,White,53,DEF,Arsenal,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11,12,Zinchenko,49,DEF,Nott'm Forest,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0
12,13,Clarke,38,DEF,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13,14,Kacurri,39,DEF,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14,15,Nichols,38,DEF,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15,16,Saka,101,MID,Arsenal,3.0,6.0,0.0,0.0,1.0,2.0,8.0,7.0,3.0,3.0,12.0,4
16,17,Ødegaard,78,MID,Arsenal,5.0,1.0,1.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0
17,18,Madueke,68,MID,Arsenal,1.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
18,19,Martinelli,68,MID,Arsenal,1.0,0.0,3.0,1.0,7.0,1.0,1.0,1.0,1.0,0.0,0.0,0
19,20,Trossard,69,MID,Arsenal,0.0,1.0,0.0,4.0,2.0,2.0,3.0,10.0,3.0,6.0,9.0,12
20,21,Rice,70,MID,Arsenal,6.0,6.0,4.0,1.0,3.0,9.0,11.0,3.0,7.0,13.0,2.0,6
21,22,Merino,59,MID,Arsenal,1.0,0.0,3.0,3.0,1.0,6.0,1.0,1.0,1.0,1.0,5.0,5
